Time,Bytes Sending,Bytes Receiving
1.0990116596221924,45078.36,165729.22
2.7699637413024902,45078.36,165729.22
4.519576549530029,45078.36,165729.22
6.330396890640259,45078.36,165729.3
8.134334325790405,45078.77,165729.64
10.159498453140259,45078.77,165729.64
11.835987091064453,45078.77,165729.64
13.622793912887573,45078.88,165729.72
15.435955047607422,45078.88,165729.72
16.581918954849243,45078.98,165729.72
17.725759983062744,45078.98,165729.72
19.64981436729431,45078.98,165729.72
21.27025532722473,45078.98,165729.72
22.934913396835327,45078.98,165729.72
24.738327026367188,45078.98,165729.72
25.947060585021973,45080.76,165731.12
27.16613531112671,45099.8,165736.81
29.045278787612915,45099.89,165736.91
30.57982873916626,45099.89,165736.91
32.627289056777954,45099.89,165736.98
34.554787397384644,45113.75,165743.68
36.48977065086365,45113.75,165743.68
38.4357967376709,45113.75,165743.68
40.347827434539795,45113.75,165743.68
42.25389528274536,45113.75,165743.68
44.10282611846924,45113.75,165743.68
45.94436264038086,45113.75,165744.38
47.90888071060181,45113.75,165744.44
