Device,Path,Total Size,Free Size,Used Size,Percentage
/dev/nvme0n1p7,/,136.85,35.18,99.87,73.9
/dev/nvme0n1p7,/home,136.85,35.18,99.87,73.9
/dev/loop1,/var/lib/snapd/snap/bare/5,0.0,0.0,0.0,100.0
/dev/loop0,/var/lib/snapd/snap/code/126,0.31,0.0,0.31,100.0
/dev/loop3,/var/lib/snapd/snap/arduino/85,0.21,0.0,0.21,100.0
/dev/loop4,/var/lib/snapd/snap/core/14784,0.12,0.0,0.12,100.0
/dev/loop2,/var/lib/snapd/snap/code/127,0.32,0.0,0.32,100.0
/dev/loop5,/var/lib/snapd/snap/core18/2714,0.06,0.0,0.06,100.0
/dev/loop6,/var/lib/snapd/snap/core/14946,0.12,0.0,0.12,100.0
/dev/loop7,/var/lib/snapd/snap/core18/2721,0.06,0.0,0.06,100.0
/dev/loop8,/var/lib/snapd/snap/core20/1852,0.07,0.0,0.07,100.0
/dev/loop10,/var/lib/snapd/snap/core22/617,0.08,0.0,0.08,100.0
/dev/loop9,/var/lib/snapd/snap/core22/607,0.08,0.0,0.08,100.0
/dev/loop12,/var/lib/snapd/snap/gnome-3-34-1804/93,0.23,0.0,0.23,100.0
/dev/loop13,/var/lib/snapd/snap/gnome-42-2204/102,0.48,0.0,0.48,100.0
/dev/loop11,/var/lib/snapd/snap/gnome-3-28-1804/198,0.17,0.0,0.17,100.0
/dev/loop14,/var/lib/snapd/snap/gnome-3-28-1804/194,0.17,0.0,0.17,100.0
/dev/loop15,/var/lib/snapd/snap/gnome-3-34-1804/90,0.23,0.0,0.23,100.0
/dev/loop17,/var/lib/snapd/snap/postman/204,0.21,0.0,0.21,100.0
/dev/loop16,/var/lib/snapd/snap/gtk-common-themes/1535,0.1,0.0,0.1,100.0
/dev/loop18,/var/lib/snapd/snap/gnome-42-2204/99,0.48,0.0,0.48,100.0
/dev/loop19,/var/lib/snapd/snap/postman/202,0.21,0.0,0.21,100.0
/dev/loop20,/var/lib/snapd/snap/slack/69,0.13,0.0,0.13,100.0
/dev/loop22,/var/lib/snapd/snap/snapd/18596,0.05,0.0,0.05,100.0
/dev/loop21,/var/lib/snapd/snap/slack/71,0.12,0.0,0.12,100.0
/dev/loop23,/var/lib/snapd/snap/snapd/18933,0.06,0.0,0.06,100.0
/dev/loop24,/var/lib/snapd/snap/weka/24,0.33,0.0,0.33,100.0
/dev/loop25,/var/lib/snapd/snap/weka/23,0.11,0.0,0.11,100.0
/dev/nvme0n1p6,/boot,1.02,0.67,0.28,29.0
/dev/nvme0n1p1,/boot/efi,0.27,0.19,0.07,27.6
